15:47:08 root:144 - <module>() INFO || -------------------------------------------------------------
16:05:26 matplotlib.font_manager:1354 - _findfont_cached() DEBUG || findfont: Matching :family=sans-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0 to DejaVu Sans ('c:\\users\\user\\documents\\python35\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans.ttf') with score of 0.050000
16:05:26 matplotlib.font_manager:1354 - _findfont_cached() DEBUG || findfont: Matching :family=sans-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=12.0 to DejaVu Sans ('c:\\users\\user\\documents\\python35\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans.ttf') with score of 0.050000
16:05:26 querypanel:26 - __init__() INFO || appwidget-querypanel Init.
16:05:26 DefaultEngine-QueryPanel:30 - __init__() INFO || DefaultEngine-QueryPanel Init.
16:05:26 DefaultEngine-QueryPanel:40 - set_build_config() INFO || Passed Check Req Headers.
16:05:26 DefaultEngine-QueryPanel:40 - set_build_config() INFO || Passed Check Req Headers.
16:05:26 querypanel:268 - _update_queries() INFO || .update_queries called for category Orders
16:05:26 datatable:26 - __init__() INFO || appwidget-datatable Init.
16:05:26 DefaultEngine-DataTable:30 - __init__() INFO || DefaultEngine-DataTable Init.
16:05:26 datatable:53 - __init__() DEBUG || datatable not in config. Check config2 file.
16:05:26 datatable:39 - __init__() INFO || DataTable.py init
16:05:26 multigrapher:26 - __init__() INFO || appwidget-multigrapher Init.
16:05:26 DefaultEngine-MultiGrapher:30 - __init__() INFO || DefaultEngine-MultiGrapher Init.
16:05:26 DefaultEngine-MultiGrapher:40 - set_build_config() INFO || Passed Check Req Headers.
16:05:26 multigrapher:419 - build_tree_frame() INFO || Building Tree Frame
16:05:26 multigrapher:370 - build_graphs_frame() INFO || Initiating MG Build Process.
16:05:26 multigrapher:379 - build_graphs_frame() DEBUG || Build slot n=0 - Rowx 0, colx 0
16:05:26 multigrapher:379 - build_graphs_frame() DEBUG || Build slot n=1 - Rowx 0, colx 1
16:05:26 multigrapher:379 - build_graphs_frame() DEBUG || Build slot n=2 - Rowx 1, colx 0
16:05:26 multigrapher:379 - build_graphs_frame() DEBUG || Build slot n=3 - Rowx 1, colx 1
16:05:26 multigrapher:247 - preview_page_at_selection() INFO || Current curr_pageslotindex set to 0
16:05:26 root:154 - <module>() INFO || App Initialized...
16:05:29 multigrapher:247 - preview_page_at_selection() INFO || Current curr_pageslotindex set to 1
16:05:29 multigrapher:247 - preview_page_at_selection() INFO || Current curr_pageslotindex set to 2
16:05:30 multigrapher:247 - preview_page_at_selection() INFO || Current curr_pageslotindex set to 2
16:05:32 multigrapher:247 - preview_page_at_selection() INFO || Current curr_pageslotindex set to 1
16:05:57 multigrapher:247 - preview_page_at_selection() INFO || Current curr_pageslotindex set to 2
16:06:01 multigrapher:247 - preview_page_at_selection() INFO || Current curr_pageslotindex set to 1
16:06:01 multigrapher:247 - preview_page_at_selection() INFO || Current curr_pageslotindex set to 0
16:06:03 multigrapher:247 - preview_page_at_selection() INFO || Current curr_pageslotindex set to 2
16:06:04 multigrapher:247 - preview_page_at_selection() INFO || Current curr_pageslotindex set to 0
16:06:05 multigrapher:247 - preview_page_at_selection() INFO || Current curr_pageslotindex set to 0
16:06:08 multigrapher:247 - preview_page_at_selection() INFO || Current curr_pageslotindex set to 1
16:08:40 root:159 - <module>() INFO || app.mainloop() terminated.
16:08:40 queries:13 - <module>() INFO || queries Init.
16:08:40 exceltodataframe:19 - <module>() INFO || exceltodataframe Init.
16:08:40 graphframe:23 - <module>() INFO || graphframe Init.
16:08:40 root:144 - <module>() INFO || -------------------------------------------------------------
16:08:40 root:145 - <module>() INFO || DEBUGLOG @ 180912-1608
16:08:40 root:146 - <module>() INFO || VERSION: v0.2.10.1 - 2018/09/07
16:08:40 root:147 - <module>() INFO || AUTHOR:Justin H Kim
16:08:40 root:148 - <module>() INFO || -------------------------------------------------------------
16:08:40 root:149 - <module>() INFO || datainsightsapp module initialized...
16:08:40 root:151 - <module>() INFO || Collected config2.backend_settings
16:08:40 root:38 - __init__() INFO || DataInsightsApp init started.
16:08:40 __main__:40 - __init__() INFO || Super init completed.
16:08:40 __main__:42 - __init__() INFO || Account id = admin
16:08:40 settingsmanager:26 - __init__() INFO || appwidget-settingsmanager Init.
16:08:40 DefaultEngine-SettingsManager:30 - __init__() INFO || DefaultEngine-SettingsManager Init.
16:08:40 DefaultEngine-SettingsManager:40 - set_build_config() INFO || Passed Check Req Headers.
16:08:40 DefaultEngine-SettingsManager:40 - set_build_config() INFO || Passed Check Req Headers.
16:08:40 settingsmanager:145 - _build_settings() INFO || Building settings.
16:08:40 settingsmanager:150 - _build_settings() INFO || Building settings: dbmanager-loaddb_on_load = True
16:08:40 settingsmanager:150 - _build_settings() INFO || Building settings: dbmanager-loaddb_loc = databases\DH_DBS.pickle
16:08:40 settingsmanager:150 - _build_settings() INFO || Building settings: dbmanager-automatic db export = True
16:08:40 settingsmanager:150 - _build_settings() INFO || Building settings: dbmanager-automatic export location = exports\databases
16:08:40 settingsmanager:150 - _build_settings() INFO || Building settings: analysispage-automatic search export = True
16:08:40 settingsmanager:150 - _build_settings() INFO || Building settings: analysispage-automatic export location = exports\search_results
16:08:40 settingsmanager:150 - _build_settings() INFO || Building settings: analysispage-setdates_on_load = True
16:08:40 settingsmanager:150 - _build_settings() INFO || Building settings: querypanel-colors_preferred = #f5010a-#eae402-#408080-#800080-#0ad2f5-#804040-#299904-#fedf05
16:08:40 settingsmanager:150 - _build_settings() INFO || Building settings: querypanel-setdates_gap = 10
16:08:40 settingsmanager:150 - _build_settings() INFO || Building settings: querypanel-setdates_from_date = 20180605
16:08:40 settingsmanager:150 - _build_settings() INFO || Building settings: productviewer-automatic export location = exports\product_customer_lists
16:08:40 settingsmanager:174 - _build_entries() INFO || Building entries
16:08:40 settingsmanager:187 - _build_entries() INFO || 0. Unpacking: dbmanager-loaddb_on_load = True
16:08:40 settingsmanager:187 - _build_entries() INFO || 1. Unpacking: dbmanager-loaddb_loc = databases\DH_DBS.pickle
16:08:40 settingsmanager:187 - _build_entries() INFO || 2. Unpacking: dbmanager-automatic db export = True
16:08:40 settingsmanager:187 - _build_entries() INFO || 3. Unpacking: dbmanager-automatic export location = exports\databases
16:08:40 settingsmanager:187 - _build_entries() INFO || 4. Unpacking: analysispage-automatic search export = True
16:08:40 settingsmanager:187 - _build_entries() INFO || 5. Unpacking: analysispage-automatic export location = exports\search_results
16:08:40 settingsmanager:187 - _build_entries() INFO || 6. Unpacking: analysispage-setdates_on_load = True
16:08:40 settingsmanager:187 - _build_entries() INFO || 7. Unpacking: querypanel-colors_preferred = #f5010a-#eae402-#408080-#800080-#0ad2f5-#804040-#299904-#fedf05
16:08:40 settingsmanager:187 - _build_entries() INFO || 8. Unpacking: querypanel-setdates_gap = 10
16:08:40 settingsmanager:187 - _build_entries() INFO || 9. Unpacking: querypanel-setdates_from_date = 20180605
16:08:40 settingsmanager:187 - _build_entries() INFO || 10. Unpacking: productviewer-automatic export location = exports\product_customer_lists
16:08:40 dbmanager:26 - __init__() INFO || appwidget-dbmanager Init.
16:08:40 DefaultEngine-DBManager:30 - __init__() INFO || DefaultEngine-DBManager Init.
16:08:40 DefaultEngine-DBManager:40 - set_build_config() INFO || Passed Check Req Headers.
16:08:40 dbmanager:105 - _load_offline_dbs() DEBUG || Cannot find popup widget to .destroy()
16:08:43 __main__:106 - propagate_db_var_change() DEBUG || Tried to send new db to productviewer, but it does not exist yet.
